@relation 'data-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>=8,1,ifelse(A>=6.5,2,ifelse(A>=5,3,4)))-V-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:Gioi,2:Kha,3:TB,4:Yeu-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>=8,1,ifelse(A>=6.5,2,ifelse(A>=5,3,4)))-V-R3-9-weka.filters.unsupervised.attribute.NumericToNominal-R3-9-weka.filters.unsupervised.attribute.RenameNominalValues-R3-9-N1:Gioi,2:Kha,3:TB,4:Yeu-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R1'

@attribute Toan {Gioi,Kha,TB,Yeu}
@attribute Li {Gioi,Kha,TB,Yeu}
@attribute Hoa {Gioi,Kha,TB,Yeu}
@attribute Sinh {Gioi,Kha,TB,Yeu}
@attribute Van {Gioi,Kha,TB,Yeu}
@attribute Su {Gioi,Kha,TB,Yeu}
@attribute Dia {Gioi,Kha,TB,Yeu}
@attribute Ngoai_Ngu {Gioi,Kha,TB,Yeu}
@attribute Nganh_Holland {'Kinh doanh','Nghiên cứu','Xã hội','Kỹ thuật','Nghiệp vụ','Nghệ thuật'}

@data
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Gioi,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Kha,Gioi,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Xã hội'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Nghệ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,TB,Kha,Gioi,TB,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Kha,Kha,TB,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Kha,Gioi,Gioi,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,'Nghệ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Kha,TB,Kha,Gioi,TB,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,TB,Gioi,Gioi,TB,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,TB,Kha,Gioi,TB,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,TB,Kha,Gioi,Kha,'Nghiệp vụ'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Kha,'Xã hội'
Gioi,Gioi,Gioi,Gioi,TB,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,Kha,'Kỹ thuật'
Gioi,Gioi,Kha,Gioi,Gioi,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Gioi,Gioi,Kha,TB,Kha,Gioi,Yeu,'Kỹ thuật'
Gioi,Gioi,Gioi,Kha,TB,Gioi,Gioi,TB,'Kinh doanh'
Gioi,Gioi,Gioi,Kha,TB,Kha,Gioi,TB,'Nghiên cứu'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Kha,Kha,Kha,Kha,Gioi,Gioi,'Xã hội'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiên cứu'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Kha,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Gioi,Gioi,'Nghiệp vụ'
Gioi,Kha,Kha,Gioi,Kha,Gioi,Gioi,Gioi,'Kỹ thuật'
Gioi,Gioi,Gioi,Gioi,Kha,Kha,Kha,Gioi,'Kinh doanh'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Kha,'Nghiên cứu'
Gioi,Gioi,Kha,Gioi,Kha,Kha,Gioi,Gioi,'Kinh doanh'
Gioi,Gioi,Gioi,Gioi,Kha,Gioi,Gioi,Gioi,'Nghiên cứu'
